"nameaffiliation","year","num_papers"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2001","2"
"Institut de Recerca Biomèdica de Barcelona (IRB)","1995","1"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2007","17"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2006","19"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2003","10"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2005","17"
"Institut de Recerca Biomèdica de Barcelona (IRB)","1992","1"
"Institut de Recerca Biomèdica de Barcelona (IRB)","1990","1"
"Institut de Recerca Biomèdica de Barcelona (IRB)","2002","15"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2007","2"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2010","1"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2009","2"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2012","2"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2017","3"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2015","4"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2014","4"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2013","1"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2016","4"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2008","3"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2006","5"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2005","2"
"Institut de Recerca contra la Leucèmia Josep Carreras - IGTP","2003","1"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2018","1"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2014","1"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2015","2"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2012","1"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2010","1"
"Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","2011","1"
"Institut Guttmann","2018","3"
"Institut Guttmann","2017","3"
"Institut Guttmann","2016","6"
"Institut Guttmann","2014","1"
"Institut Guttmann","2015","4"
"Institut Guttmann","2013","6"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2018","2"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2016","1"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2017","2"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2014","5"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2008","5"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2013","4"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2012","7"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2010","5"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2015","7"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2003","5"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2002","2"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2011","9"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2001","3"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2000","1"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2006","10"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","1998","2"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2007","6"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2005","5"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2009","7"
"Institut Químic de Sarrià (IQS) - Universitat Ramon Llull (URL)","2004","4"
"Structural Biology Unit - CSIC","2017","3"
"Structural Biology Unit - CSIC","2012","6"
"Structural Biology Unit - CSIC","2003","1"
"Structural Biology Unit - CSIC","2015","5"
"Structural Biology Unit - CSIC","2002","1"
"Structural Biology Unit - CSIC","2010","7"
"Structural Biology Unit - CSIC","2009","5"
"Structural Biology Unit - CSIC","2007","4"
"Structural Biology Unit - CSIC","2006","5"
"Structural Biology Unit - CSIC","2008","8"
"Structural Biology Unit - CSIC","2005","4"
"Structural Biology Unit - CSIC","2004","4"
"Structural Biology Unit - CSIC","2014","4"
"Structural Biology Unit - CSIC","2013","11"
"Structural Biology Unit - CSIC","2011","4"
"Universitat Autònoma de Barcelona (UAB)","1990","1"
"Universitat Autònoma de Barcelona (UAB)","1998","1"
"Universitat Autònoma de Barcelona (UAB)","2000","1"
"Universitat Autònoma de Barcelona (UAB)","1999","1"
"Universitat Autònoma de Barcelona (UAB)","1994","1"
"Universitat Autònoma de Barcelona (UAB)","2018","10"
"Universitat Autònoma de Barcelona (UAB)","2016","30"
"Universitat Autònoma de Barcelona (UAB)","2014","35"
"Universitat Autònoma de Barcelona (UAB)","2013","29"
"Universitat Autònoma de Barcelona (UAB)","2008","24"
"Universitat Autònoma de Barcelona (UAB)","2009","21"
"Universitat Autònoma de Barcelona (UAB)","2011","23"
"Universitat Autònoma de Barcelona (UAB)","2007","20"
"Universitat Autònoma de Barcelona (UAB)","1992","1"
"Universitat Autònoma de Barcelona (UAB)","1991","1"
"Universitat Autònoma de Barcelona (UAB)","2004","18"
"Universitat Autònoma de Barcelona (UAB)","2006","23"
"Universitat Autònoma de Barcelona (UAB)","2001","4"
"Universitat Autònoma de Barcelona (UAB)","2005","18"
"Universitat Autònoma de Barcelona (UAB)","1996","2"
"Universitat Autònoma de Barcelona (UAB)","2010","26"
"Universitat Autònoma de Barcelona (UAB)","2003","15"
"Universitat Autònoma de Barcelona (UAB)","2002","12"
"Universitat Autònoma de Barcelona (UAB)","2017","20"
"Universitat Autònoma de Barcelona (UAB)","2015","36"
"Universitat Autònoma de Barcelona (UAB)","2012","41"
"Universitat de Barcelona (UB)","1997","1"
"Universitat de Barcelona (UB)","1989","1"
"Universitat de Barcelona (UB)","1992","1"
"Universitat de Barcelona (UB)","1995","3"
"Universitat de Barcelona (UB)","1991","1"
"Universitat de Barcelona (UB)","1994","1"
"Universitat de Barcelona (UB)","2015","25"
"Universitat de Barcelona (UB)","2003","12"
"Universitat de Barcelona (UB)","2018","14"
"Universitat de Barcelona (UB)","2016","21"
"Universitat de Barcelona (UB)","2017","35"
"Universitat de Barcelona (UB)","2012","22"
"Universitat de Barcelona (UB)","2013","31"
"Universitat de Barcelona (UB)","2014","29"
"Universitat de Barcelona (UB)","2010","24"
"Universitat de Barcelona (UB)","2007","15"
"Universitat de Barcelona (UB)","2011","42"
"Universitat de Barcelona (UB)","2006","20"
"Universitat de Barcelona (UB)","2009","35"
"Universitat de Barcelona (UB)","2008","19"
"Universitat de Barcelona (UB)","2004","9"
"Universitat de Barcelona (UB)","2002","13"
"Universitat de Barcelona (UB)","2005","14"
"Universitat de Girona (UdG)","2005","1"
"Universitat de Girona (UdG)","2001","1"
"Universitat de Girona (UdG)","2007","1"
"Universitat de Girona (UdG)","2004","1"
"Universitat de Girona (UdG)","2017","9"
"Universitat de Girona (UdG)","2016","4"
"Universitat de Girona (UdG)","2012","13"
